steps,apple_score,score,size,path_finder
268,27,982,10,a_star
316,28,984,10,a_star
235,26,965,10,a_star
91,10,309,10,a_star
265,28,1035,10,a_star
116,14,484,10,a_star
153,21,797,10,a_star
218,28,1082,10,a_star
119,15,531,10,a_star
348,39,1502,10,a_star
122,18,678,10,a_star
254,31,1196,10,a_star
147,22,853,10,a_star
238,26,962,10,a_star
369,40,1531,10,a_star
231,31,1219,10,a_star
131,18,669,10,a_star
442,45,1708,10,a_star
97,13,453,10,a_star
181,25,969,10,a_star
209,25,941,10,a_star
147,17,603,10,a_star
230,22,770,10,a_star
338,40,1562,10,a_star
430,39,1420,10,a_star
202,23,848,10,a_star
189,19,661,10,a_star
293,28,1007,10,a_star
260,26,940,10,a_star
52,10,348,10,a_star
184,26,1016,10,a_star
56,7,194,10,a_star
212,24,888,10,a_star
143,16,557,10,a_star
236,24,864,10,a_star
240,23,810,10,a_star
214,22,786,10,a_star
320,30,1080,10,a_star
206,21,744,10,a_star
243,27,1007,10,a_star
126,16,574,10,a_star
217,26,983,10,a_star
212,25,938,10,a_star
252,27,998,10,a_star
437,42,1563,10,a_star
274,31,1176,10,a_star
74,10,326,10,a_star
286,28,1014,10,a_star
134,18,666,10,a_star
185,22,815,10,a_star
282,33,1268,10,a_star
288,34,1312,10,a_star
152,19,698,10,a_star
317,36,1383,10,a_star
245,31,1205,10,a_star
254,33,1296,10,a_star
214,31,1236,10,a_star
230,26,970,10,a_star
236,23,814,10,a_star
212,27,1038,10,a_star
88,10,312,10,a_star
247,28,1053,10,a_star
356,37,1394,10,a_star
323,29,1027,10,a_star
281,31,1169,10,a_star
326,31,1124,10,a_star
113,15,537,10,a_star
248,29,1102,10,a_star
209,26,991,10,a_star
332,35,1318,10,a_star
449,46,1751,10,a_star
304,32,1196,10,a_star
218,23,832,10,a_star
204,24,896,10,a_star
59,9,291,10,a_star
371,36,1329,10,a_star
401,42,1599,10,a_star
432,42,1568,10,a_star
293,33,1257,10,a_star
222,24,878,10,a_star
314,31,1136,10,a_star
167,17,583,10,a_star
199,23,851,10,a_star
302,28,998,10,a_star
221,26,979,10,a_star
155,20,745,10,a_star
209,23,841,10,a_star
254,27,996,10,a_star
377,40,1523,10,a_star
207,23,843,10,a_star
368,36,1332,10,a_star
284,30,1116,10,a_star
220,23,830,10,a_star
421,37,1329,10,a_star
183,25,967,10,a_star
210,18,590,10,a_star
267,30,1133,10,a_star
252,28,1048,10,a_star
218,22,782,10,a_star
398,40,1502,10,a_star
192,25,958,10,greedy
152,19,698,10,greedy
108,14,492,10,greedy
209,25,941,10,greedy
205,25,945,10,greedy
218,26,982,10,greedy
182,22,818,10,greedy
265,29,1085,10,greedy
172,25,978,10,greedy
90,12,410,10,greedy
110,13,440,10,greedy
148,19,702,10,greedy
139,14,461,10,greedy
208,24,892,10,greedy
288,29,1062,10,greedy
67,10,333,10,greedy
185,21,765,10,greedy
153,17,597,10,greedy
81,9,269,10,greedy
138,23,912,10,greedy
107,13,443,10,greedy
249,31,1201,10,greedy
196,25,954,10,greedy
245,28,1055,10,greedy
108,18,692,10,greedy
150,23,900,10,greedy
86,9,264,10,greedy
100,16,600,10,greedy
155,17,595,10,greedy
171,21,779,10,greedy
261,29,1089,10,greedy
120,15,530,10,greedy
147,20,753,10,greedy
227,27,1023,10,greedy
125,16,575,10,greedy
161,23,889,10,greedy
215,26,985,10,greedy
331,35,1319,10,greedy
174,20,726,10,greedy
195,27,1055,10,greedy
164,23,886,10,greedy
133,13,417,10,greedy
103,11,347,10,greedy
161,20,739,10,greedy
181,22,819,10,greedy
94,12,406,10,greedy
102,14,498,10,greedy
123,18,677,10,greedy
126,16,574,10,greedy
214,25,936,10,greedy
186,26,1014,10,greedy
220,26,980,10,greedy
69,11,381,10,greedy
193,24,907,10,greedy
99,12,401,10,greedy
165,22,835,10,greedy
149,18,651,10,greedy
125,15,525,10,greedy
141,16,559,10,greedy
173,23,877,10,greedy
175,21,775,10,greedy
181,26,1019,10,greedy
203,23,847,10,greedy
203,22,797,10,greedy
175,25,975,10,greedy
154,19,696,10,greedy
154,18,646,10,greedy
134,20,766,10,greedy
150,20,750,10,greedy
197,23,853,10,greedy
120,18,680,10,greedy
263,31,1187,10,greedy
211,25,939,10,greedy
127,15,523,10,greedy
217,28,1083,10,greedy
220,27,1030,10,greedy
185,24,915,10,greedy
148,17,602,10,greedy
178,21,772,10,greedy
113,14,487,10,greedy
120,16,580,10,greedy
105,14,495,10,greedy
92,12,408,10,greedy
153,20,747,10,greedy
149,20,751,10,greedy
165,24,935,10,greedy
191,21,759,10,greedy
91,13,459,10,greedy
142,20,758,10,greedy
122,14,478,10,greedy
155,19,695,10,greedy
107,14,493,10,greedy
63,10,337,10,greedy
146,16,554,10,greedy
101,13,449,10,greedy
123,19,727,10,greedy
136,18,664,10,greedy
230,30,1170,10,greedy
161,18,639,10,greedy
165,18,635,10,greedy
